Stkcd	Accper	Typrep	Indcd	F070101B	F070201B
000004	2008-06-30	A	G54	-1.053749	7.370796
000004	2008-03-31	A	G54	9.923803	1.000000
000004	2007-12-31	A	G54	.874428	.388081
000004	2007-09-30	A	G54	.743957	1.000000
000004	2007-06-30	A	G54	.788830	.154719
000004	2007-03-31	A	G54	1.538415	1.000000
000004	2006-12-31	A	G54	1.124455	1.608592
000004	2006-09-30	A	G54	.783747	-.806090
000004	2006-06-30	A	G54	.089836	-35.844795
000004	2006-03-31	A	G54	1.214659	1.000000
000004	2005-12-31	A	G54	.850955	.870491
000004	2005-09-30	A	G54	.593557	-.335926
000004	2005-06-30	A	G54	.129317	-12.234574
000004	2005-03-31	A	G54	.384938	-2.151379
000004	2004-12-31	A	G54	-.099997	22.088653
000004	2004-09-30	A	G54	-3.725479	3.066317
000004	2004-06-30	A	G54	.536466	-.650897
000004	2004-03-31	A	G54	.849450	.654914
000005	2014-09-30	A	K70	.849542	1.000000
000005	2014-06-30	A	K70	.864351	.880569
000005	2014-03-31	A	K70	.798029	1.000000
000005	2013-12-31	A	K70	.819380	.859151
000005	2013-09-30	A	K70	.859819	1.000000
000005	2013-06-30	A	K70	.847760	.868787
000005	2013-03-31	A	K70	.809529	1.000000
000005	2012-12-31	A	K70	1.937577	1.278835
000005	2012-09-30	A	S90	-.045980	1.000000
000005	2012-06-30	A	S90	.669964	.461445
000005	2012-03-31	A	S90	.512305	1.000000
000005	2011-12-31	A	S90	3.275635	1.451373
000005	2011-09-30	A	S90	2.063470	1.000000
000005	2011-06-30	A	S90	1.342704	1.000000
000005	2011-03-31	A	S90	.499832	1.000000
000005	2010-12-31	A	S90	6.978362	2.078372
000005	2010-09-30	A	S90	.576382	1.000000
000005	2010-06-30	A	S90	.418673	1.000000
000005	2010-03-31	A	S90	.537226	1.000000
000005	2009-12-31	A	S90	.284464	-.786302
000005	2009-09-30	A	S90	.103926	1.000000
000005	2009-06-30	A	S90	-2.388286	1.855160
000005	2009-03-31	A	S90	2.049466	1.000000
000005	2008-12-31	A	S90	3.569747	1.267181
000005	2008-09-30	A	S90	2.821855	1.000000
000005	2008-06-30	A	S90	3.224564	1.000000
000005	2008-03-31	A	S90	2.149710	1.000000
000005	2007-12-31	A	S90	1.308314	1.218534
000005	2007-09-30	A	S90	1.101156	1.000000
000005	2007-06-30	A	S90	1.092623	1.000000
000005	2007-03-31	A	S90	1.036912	1.000000
000005	2006-12-31	A	S90	1.621592	1.179385
000005	2006-09-30	A	S90	1.250313	1.000000
000005	2006-06-30	A	S90	1.210017	1.136055
000005	2006-03-31	A	S90	1.122363	1.000000
000005	2005-12-31	A	S90	.748294	.855447
000005	2005-09-30	A	S90	-.313955	3.187287
000005	2005-06-30	A	S90	-.480866	2.602614
000005	2005-03-31	A	S90	-.424447	4.810634
000005	2004-12-31	A	S90	25.270039	1.603027
000005	2004-09-30	A	S90	19.455083	1.814958
000005	2004-06-30	A	S90	16.539474	1.778671
000005	2004-03-31	A	S90	9.532010	1.561526
000006	2014-09-30	A	K70	1.223098	1.000000
000006	2014-06-30	A	K70	1.720907	1.152924
000006	2014-03-31	A	K70	1.558594	1.000000
000006	2013-12-31	A	K70	1.037352	1.032852
000006	2013-09-30	A	K70	1.000598	1.000000
000006	2013-06-30	A	K70	.993275	1.041596
000006	2013-03-31	A	K70	.939290	1.000000
000006	2012-12-31	A	K70	1.008583	1.025060
000006	2012-09-30	A	K70	1.018528	1.000000
000006	2012-06-30	A	K70	1.022433	1.030688
000006	2012-03-31	A	K70	1.045276	1.000000
000006	2011-12-31	A	K70	1.100615	1.028373
000006	2011-09-30	A	K70	1.139617	1.000000
000006	2011-06-30	A	K70	1.237373	1.036586
000006	2011-03-31	A	K70	1.482225	1.000000
000006	2010-12-31	A	K70	1.152053	1.030990
000006	2010-09-30	A	K70	1.410896	1.000000
000006	2010-06-30	A	K70	1.349389	1.065718
000006	2010-03-31	A	K70	1.437972	1.000000
000006	2009-12-31	A	K70	1.231486	1.054863
000006	2009-09-30	A	K70	1.413122	1.000000
000006	2009-06-30	A	K70	1.575055	1.058632
000006	2009-03-31	A	K70	1.148096	1.000000
000006	2008-12-31	A	K70	1.458754	1.095812
000006	2008-09-30	A	K70	1.277459	1.000000
000006	2008-06-30	A	K70	1.170811	1.032621
000006	2008-03-31	A	K70	1.079696	1.000000
000006	2007-12-31	A	K70	1.265027	1.070099
000006	2007-09-30	A	K70	.967019	1.000000
000006	2007-06-30	A	K70	.992083	1.065694
000006	2007-03-31	A	K70	.981290	1.000000
000006	2006-12-31	A	K70	1.096695	1.078898
000006	2006-09-30	A	K70	1.082362	1.000000
000006	2006-06-30	A	K70	1.060167	1.051281
000006	2006-03-31	A	K70	1.186096	1.115432
000006	2005-12-31	A	K70	1.259108	1.218347
000006	2005-09-30	A	K70	2.705435	1.371311
000006	2005-06-30	A	K70	-2.705293	1.933952
000006	2005-03-31	A	K70	2.059593	1.436009
000006	2004-12-31	A	K70	2.010517	1.451188
000006	2004-09-30	A	K70	.039814	-14.380293
000006	2004-06-30	A	K70	.575584	.537191
000006	2004-03-31	A	K70	-1.438536	1.954229
000007	2014-09-30	A	H61	-.079413	1.000000
000007	2014-06-30	A	H61	-.093991	15.380304
000007	2014-03-31	A	H61	.364354	1.000000
000007	2013-12-31	A	H61	1.553205	1.402565
000007	2013-09-30	A	H61	1.216754	1.000000
000007	2013-06-30	A	H61	-4.031003	3.081363
000007	2013-03-31	A	H61	.608984	1.000000
000007	2012-12-31	A	H61	2.006370	1.976758
000007	2012-09-30	A	H61	1.377298	1.000000
000007	2012-06-30	A	H61	1.363113	1.933551
000007	2012-03-31	A	H61	2.398980	1.000000
000007	2011-12-31	A	H61	1.476053	2.024191
000007	2011-09-30	A	H61	3.835526	1.000000
000007	2011-06-30	A	H61	-62.915590	3.253947
000007	2011-03-31	A	H61	17.346760	1.000000
000007	2010-12-31	A	H61	2.123719	1.374715
000007	2010-09-30	A	H61	6.917808	1.000000
000007	2010-06-30	A	H61	2.206822	1.604861
000007	2010-03-31	A	K70	.573903	1.000000
000007	2009-12-31	A	K70	2.680599	1.428528
000007	2009-09-30	A	K70	1.400526	1.000000
000007	2009-06-30	A	K70	1.572966	1.290445
000007	2009-03-31	A	K70	.029563	1.000000
000007	2008-12-31	A	K70	.239857	-.722993
000007	2008-09-30	A	K70	.017210	1.000000
000007	2008-06-30	A	K70	-.031939	23.299262
000007	2008-03-31	A	K70	.163984	1.000000
000007	2007-12-31	A	K70	4.777628	1.661319
000007	2007-09-30	A	K70	-.162588	1.000000
000007	2007-06-30	A	K70	.200275	-2.458600
000007	2007-03-31	A	K70	.295923	1.000000
000007	2006-12-31	A	K70	.604795	.459005
000007	2006-09-30	A	K70	.073803	-9.162111
000007	2006-06-30	A	K70	.162642	-3.968896
000007	2006-03-31	A	K70	-.657091	2.455191
000007	2005-12-31	A	K70	6.119218	1.552901
000007	2005-09-30	A	K70	-1.294107	1.000000
000007	2005-06-30	A	K70	4.809367	1.468293
000007	2005-03-31	A	K70	1.477532	1.170581
000007	2004-12-31	A	K70	.787129	.811797
000007	2004-09-30	A	K70	.397794	-.054309
000007	2004-06-30	A	K70	.226620	-1.480307
000007	2004-03-31	A	K70	.340649	-.700860
000008	2014-09-30	A	H61	1.031292	1.000000
000008	2014-06-30	A	H61	1.029085	2.697697
000008	2014-03-31	A	H61	1.032466	1.000000
000008	2013-12-31	A	H61	1.006422	2.440100
000008	2013-09-30	A	H61	1.039553	1.000000
000008	2013-06-30	A	H61	1.037545	2.729166
000008	2013-03-31	A	H61	1.070640	1.000000
000008	2012-12-31	A	H61	1.046742	1.952770
000008	2012-09-30	A	F51	-8.730814	1.000000
