Stkcd	Accper	C001000000
000005	2007-06-30	85821473.31
000005	2007-03-31	9235259.18
000005	2006-12-31	2659119.27
000005	2006-06-30	21140598.59
000005	2005-12-31	14817858.99
000005	2005-09-30	14382896.09
000005	2005-06-30	1849822.22
000005	2005-03-31	-9662816.32
000005	2004-12-31	45173737.69
000005	2004-09-30	31806845.45
000005	2004-06-30	6850598.60
000005	2004-03-31	7754735.73
000006	2014-09-30	-941255004.20
000006	2014-06-30	-144185553.40
000006	2014-03-31	-91132535.48
000006	2013-12-31	-890291911.02
000006	2013-01-01	2181610271.52
000006	2013-09-30	-892338094.32
000006	2013-06-30	114947938.96
000006	2013-03-31	177001644.28
000006	2012-01-01	1198565275.40
000006	2012-12-31	2181610271.52
000006	2012-09-30	1535706763.88
000006	2012-06-30	715265916.20
000006	2012-03-31	91181063.76
000006	2011-12-31	1198565275.40
000006	2011-09-30	1002632271.11
000006	2011-06-30	780629244.56
000006	2011-03-31	307048589.16
000006	2010-12-31	1086823122.18
000006	2010-09-30	201096831.37
000006	2010-06-30	119126139.33
000006	2010-03-31	-54828769.44
000006	2009-12-31	369028706.28
000006	2009-09-30	489434348.01
000006	2009-06-30	203561975.38
000006	2009-03-31	-121707618.53
000006	2008-12-31	-1364121666.06
000006	2008-09-30	-1329831768.77
000006	2008-06-30	-1213543332.62
000006	2008-03-31	-289247886.32
000006	2007-12-31	-804871334.73
000006	2007-09-30	-20509955.61
000006	2007-06-30	-342266209.77
000006	2007-03-31	-201664398.45
000006	2006-12-31	248065627.39
000006	2006-06-30	674424540.08
000006	2006-03-31	313600229.42
000006	2005-12-31	274666946.66
000006	2005-09-30	-126533613.44
000006	2005-06-30	389809074.91
000006	2005-03-31	-60017112.41
000006	2004-12-31	245192755.34
000006	2004-09-30	164054526.67
000006	2004-06-30	65605533.17
000006	2004-03-31	-85330560.30
000007	2014-09-30	-37587475.73
000007	2014-06-30	22924789.70
000007	2014-03-31	-81354975.94
000007	2013-12-31	192861000.91
000007	2013-01-01	-248685896.91
000007	2013-09-30	-309533.42
000007	2013-06-30	66606805.77
000007	2013-03-31	4267223.02
000007	2012-12-31	-249413099.12
000007	2012-01-01	-16975705.12
000007	2012-09-30	105704566.31
000007	2012-06-30	-71070464.55
000007	2012-03-31	-73969637.90
000007	2011-12-31	-16975705.12
000007	2011-09-30	-74211188.58
000007	2011-06-30	-71922436.47
000007	2011-03-31	-1628290.82
000007	2010-12-31	27866002.46
000007	2010-09-30	32630828.99
000007	2010-06-30	33559952.74
000007	2010-03-31	-1980032.01
000007	2009-12-31	-18487711.14
000007	2009-09-30	-20450978.63
000007	2009-06-30	-11441621.19
000007	2009-03-31	-4397518.82
000007	2008-12-31	38215002.92
000007	2008-09-30	-10837616.30
000007	2008-06-30	159564.22
000007	2008-03-31	8694461.18
000007	2007-12-31	87031105.53
000007	2007-09-30	36120566.21
000007	2007-06-30	11738173.89
000007	2007-03-31	4499954.13
000007	2006-12-31	24038286.54
000007	2006-09-30	23111001.82
000007	2006-06-30	16701813.93
000007	2006-03-31	5197301.81
000007	2005-12-31	134859770.19
000007	2005-06-30	40684905.88
000007	2005-03-31	24968271.33
000007	2004-12-31	28209813.57
000007	2004-09-30	-75182237.29
000007	2004-06-30	-20210557.56
000007	2004-03-31	9448987.73
000008	2014-09-30	46204374.70
000008	2014-06-30	23821771.51
000008	2014-03-31	8919278.37
000008	2013-12-31	66779806.41
000008	2013-01-01	86665538.20
000008	2013-09-30	42773429.46
000008	2013-06-30	24327626.66
000008	2013-03-31	6584936.29
000008	2012-12-31	86665538.20
000008	2012-01-01	111411866.59
000008	2012-09-30	-1433965.26
000008	2012-06-30	1316939.72
000008	2012-03-31	2056454.68
000008	2011-12-31	-1030070.92
000008	2011-09-30	-5026126.88
000008	2011-06-30	-5061799.37
000008	2011-03-31	-5159277.54
000008	2010-12-31	-421069.14
000008	2010-09-30	-2305497.61
000008	2010-06-30	-1965843.97
000008	2010-03-31	474607.63
000008	2009-12-31	3702076.48
000008	2009-09-30	-1031035.50
000008	2009-06-30	-1062061.17
000008	2009-03-31	-1224888.06
000008	2008-12-31	704289.39
000008	2008-09-30	-3851769.96
000008	2008-06-30	-5365284.67
000008	2008-03-31	-4627641.43
000008	2007-12-31	7405637.57
000008	2007-09-30	-69317.03
000008	2007-06-30	196750.10
000008	2007-03-31	26660.00
000008	2006-12-31	5535813.91
000008	2006-09-30	2650447.76
000008	2006-06-30	4340486.82
000008	2006-03-31	-2601317.07
000008	2005-12-31	14499856.43
000008	2005-09-30	7656597.55
000008	2005-06-30	-2551374.05
000008	2005-03-31	-324038.88
000008	2004-12-31	-9260837.97
000008	2004-09-30	2772729.24
000008	2004-06-30	1787698.43
000008	2004-03-31	-1124348.47
000009	2014-09-30	9619169.92
000009	2014-06-30	-89060117.31
000009	2014-03-31	132391351.55
000009	2013-12-31	80419461.43
000009	2013-01-01	350725776.37
000009	2013-09-30	-378017827.09
000009	2013-06-30	-106338732.49
000009	2013-03-31	-79363753.45
000009	2012-01-01	-828162002.35
000009	2012-12-31	350725776.37
000009	2012-09-30	292462089.05
000009	2012-06-30	116503790.30
000009	2012-03-31	-112847032.43
000009	2011-12-31	-828162002.35
000009	2011-09-30	-659834349.69
000009	2011-06-30	-255845303.01
000009	2011-03-31	-237991051.40
000009	2010-12-31	-586348316.97
000009	2010-09-30	-627577883.74
000009	2010-06-30	-159954371.04
000009	2010-03-31	295716820.75
000009	2009-12-31	635257941.52
000009	2009-09-30	734135049.79
000009	2009-06-30	680145866.08
000009	2009-03-31	412076708.96
000009	2008-12-31	418099471.08
000009	2008-09-30	159027791.36
000009	2008-06-30	255299666.35
000009	2008-03-31	162389934.27
000009	2007-12-31	-97865845.75
000009	2007-09-30	-153051548.47
000009	2007-06-30	-229044434.14
000009	2007-03-31	-158617017.10
000009	2006-12-31	274697992.13
000009	2006-09-30	60557913.40
000009	2006-06-30	187964753.84
000009	2006-03-31	1976879.54
000009	2005-12-31	507688505.83
000009	2005-09-30	349993716.02
000009	2005-06-30	198839110.74
000009	2005-03-31	18461258.97
000009	2004-12-31	145639175.28
000009	2004-06-30	71773910.39
000010	2014-09-30	-78898952.13
000010	2014-06-30	-43759807.08
000010	2014-03-31	-27991482.78
000010	2013-12-31	4239215.22
000010	2013-01-01	-2462398.45
000010	2013-09-30	444314.49
000010	2013-06-30	-3359361.26
000010	2013-03-31	-2898975.13
000010	2012-12-31	-2202266.65
000010	2012-01-01	6516478.84
000010	2012-09-30	-4103569.74
000010	2012-06-30	-5301360.79
000010	2012-03-31	-4254634.99
000010	2011-12-31	6516478.84
000010	2011-09-30	5803066.37
000010	2011-06-30	-1799279.51
000010	2011-03-31	-846550.67
000010	2010-12-31	-6969460.51
000010	2010-09-30	-6469299.36
000010	2010-06-30	-12167110.70
000010	2010-03-31	-5972564.01
000010	2009-12-31	11450423.27
000010	2009-09-30	-327788.26
000010	2009-06-30	-5641298.37
000010	2009-03-31	3413614.36
000010	2008-12-31	-6306740.34
000010	2008-09-30	-991174.17
000010	2008-06-30	-8954361.26
000010	2008-03-31	-5806191.39
000010	2007-12-31	22869965.51
000010	2007-09-30	4482113.19
000010	2007-06-30	-820971.71
000010	2007-03-31	-4184616.44
000010	2006-12-31	-16036855.64
000010	2006-09-30	-26930936.51
000010	2006-06-30	1263766.23
000010	2005-12-31	12064828.25
000010	2005-09-30	37009220.79
000010	2005-06-30	34423801.64
000010	2005-03-31	-7162012.93
000010	2004-12-31	229921031.31
000010	2004-09-30	51941120.61
000010	2004-06-30	48827316.55
000011	2014-09-30	-95480120.87
000011	2014-06-30	-189887490.37
000011	2014-03-31	-33493465.85
000011	2013-12-31	110424330.10
000011	2013-01-01	805714197.38
000011	2013-09-30	76924547.09
000011	2013-06-30	126636956.08
000011	2013-03-31	94342037.44
000011	2012-12-31	805714197.38
000011	2012-01-01	-354083921.13
000011	2012-09-30	587922305.81
000011	2012-06-30	336111486.60
000011	2012-03-31	248705663.38
000011	2011-12-31	-361467587.70
000011	2011-09-30	-425296622.79
000011	2011-06-30	-442971012.62
000011	2011-03-31	-386088186.93
000011	2010-12-31	-101778470.64
000011	2010-09-30	-65504159.02
000011	2010-06-30	49327311.75
000011	2010-03-31	-19498084.97
000011	2009-12-31	759650626.69
000011	2009-09-30	567648705.42
000011	2009-06-30	457299337.02
000011	2009-03-31	180749289.03
000011	2008-12-31	-23702977.51
000011	2008-09-30	-81564519.49
000011	2008-06-30	-88458895.06
000011	2008-03-31	-63737110.11
000011	2007-12-31	-121568768.77
000011	2007-09-30	-93065943.68
000011	2007-06-30	-56188542.80
000011	2007-03-31	-27430793.27
000011	2006-12-31	-118610560.96
000011	2006-09-30	-102258056.95
000011	2006-06-30	-87089486.03
000011	2006-03-31	-57323200.56
000011	2005-12-31	220842222.05
000011	2005-09-30	126158446.33
000011	2005-06-30	73192857.46
000011	2005-03-31	-9134555.22
000011	2004-12-31	261714529.31
000011	2004-09-30	161885970.91
000011	2004-06-30	91887286.95
000011	2004-03-31	-8224907.52
000012	2014-09-30	957778263.00
000012	2014-06-30	580928207.00
000012	2014-03-31	90191987.00
000012	2013-12-31	1698867535.00
000012	2013-01-01	1725795529.00
000012	2013-09-30	1097503560.00
000012	2013-06-30	707258712.00
000012	2013-03-31	289618073.00
000012	2012-12-31	1725795529.00
000012	2012-01-01	1688530164.00
000012	2012-09-30	1382917631.00
000012	2012-06-30	847912135.00
000012	2012-03-31	257286802.00
000012	2011-12-31	1688530164.00
000012	2011-09-30	1231616521.00
000012	2011-06-30	942700324.00
000012	2011-03-31	408163940.00
000012	2010-12-31	2366313914.00
000012	2010-09-30	1549198125.00
000012	2010-06-30	935836780.00
000012	2010-03-31	204265631.00
000012	2009-12-31	1670237426.00
000012	2009-09-30	1053901801.00
000012	2009-06-30	660353612.00
000012	2009-03-31	241731965.00
000012	2008-12-31	1030211774.00
000012	2008-09-30	680917235.00
000012	2008-06-30	478472634.00
000012	2008-03-31	105899469.00
000012	2007-12-31	1102315515.00
000012	2007-09-30	871493270.00
000012	2007-06-30	489318656.00
000012	2007-03-31	183161998.00
000012	2006-12-31	806665961.00
000012	2006-09-30	453605540.00
000012	2006-06-30	307831719.00
000012	2006-03-31	106994262.00
000012	2005-12-31	923609014.00
000012	2005-09-30	671087357.00
000012	2005-06-30	392118881.00
000012	2005-03-31	99689741.00
000012	2004-12-31	575718536.00
000012	2004-09-30	386654807.00
000012	2004-06-30	267002064.00
000012	2004-03-31	87834390.00
000013	2004-06-30	-256237.25
000014	2014-09-30	-255000822.92
000014	2014-06-30	-152701898.28
000014	2014-03-31	-34416284.78
000014	2013-01-01	92412303.62
000014	2013-12-31	74199488.43
000014	2013-09-30	79177503.27
000014	2013-06-30	-9403000.09
000014	2013-03-31	-35628430.62
000014	2012-12-31	92412303.62
000014	2012-01-01	-262359640.68
000014	2012-09-30	-86933607.49
000014	2012-06-30	-55525676.97
000014	2012-03-31	-47733889.72
000014	2011-12-31	-262359640.68
000014	2011-09-30	-130411059.22
000014	2011-06-30	-69779957.57
000014	2011-03-31	-53540781.96
000014	2010-12-31	67393133.72
000014	2010-09-30	8164879.78
000014	2010-06-30	-23128155.90
000014	2010-03-31	-53854099.71
000014	2009-12-31	427884362.90
000014	2009-09-30	329415800.64
000014	2009-06-30	84090013.31
000014	2009-03-31	-18064779.39
000014	2008-12-31	-95434516.97
000014	2008-09-30	-198992821.69
000014	2008-06-30	-160661735.32
000014	2008-03-31	-84249247.71
000014	2007-12-31	-90982223.40
